"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"390079392522020NS000012";"390079392522019NE800026";"33903301";"PASSAGENS PARA O PAIS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000014";"390079392522019NE800126";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000017";"390079392522019NE800023";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000020";"390079392522019NE800045";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000023";"390079392522019NE800001";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000026";"390079392522019NE800001";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000026";"390079392522019NE800001";"33903705";"SERVICOS DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000026";"390079392522019NE800001";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000030";"390079392522019NE800001";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000030";"390079392522019NE800001";"33903705";"SERVICOS DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000032";"390079392522018NE000008";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000032";"390079392522019NE800027";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000034";"390079392522019NE000007";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000034";"390079392522019NE800093";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000036";"390079392522019NE800038";"33903615";"LOCACAO DE IMOVEIS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000038";"390079392522019NE800024";"33903947";"SERVICOS DE COMUNICACAO EM GERAL";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000040";"390079392522017NE800128";"44903921";"MANUTENCAO E CONSERV. DE ESTRADAS E VIAS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000040";"390079392522017NE800178";"44903921";"MANUTENCAO E CONSERV. DE ESTRADAS E VIAS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000047";"390079392522017NE800128";"44903921";"MANUTENCAO E CONSERV. DE ESTRADAS E VIAS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000049";"390079392522019NE800033";"33903921";"MANUTENCAO E CONSERV. DE ESTRADAS E VIAS";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000053";"390079392522019NE800123";"33903969";"SEGUROS EM GERAL";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000062";"390079392522019NE800041";"33903501";"ASSESSORIA E CONSULTORIA TECNICA OU JURIDICA";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000065";"390079392522019NE800123";"33903969";"SEGUROS EM GERAL";"0,00";"0,00";"0,00";"0,00"
"390079392522020NS000069";"390079392522019NE800093";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000091";"413010412312019NE000226";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000092";"413010412312019NE000227";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000093";"413010412312019NE800277";"44905212";"APARELHOS E UTENSILIOS DOMESTICOS";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000094";"413010412312019NE800278";"44905212";"APARELHOS E UTENSILIOS DOMESTICOS";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000095";"413010412312018NE000303";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000100";"413010412312018NE000307";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000101";"413010412312018NE000316";"44905230";"MAQUINAS E EQUIPAMENTOS ENERGETICOS";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000135";"413010412312018NE000311";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"413010412312020NS000136";"413010412312019NE000228";"44905233";"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";"0,00";"0,00";"0,00";"0,00"
"512035572022020NS000005";"512035572022019NE800443";"33903916";"MANUTENCAO E CONSERV. DE BENS IMOVEIS";"0,00";"0,00";"0,00";"0,00"
"512035572022020NS000017";"512035572022019NE800538";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"0,00"
"512035572022020NS000018";"512035572022019NE800252";"33903916";"MANUTENCAO E CONSERV. DE BENS IMOVEIS";"0,00";"0,00";"0,00";"0,00"
"682010682012020NS000008";"682010682012019NE801223";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
