"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"120629000012020NS000595";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000596";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000597";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000598";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000599";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000600";"120629000012019NE802222";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000601";"120629000012019NE802490";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000602";"120629000012019NE802240";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000603";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000604";"120629000012019NE801832";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000605";"120629000012019NE802244";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000606";"120629000012019NE800925";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000607";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000608";"120629000012019NE801762";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000609";"120629000012019NE802490";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000610";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000611";"120629000012019NE802867";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000612";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000613";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000614";"120629000012019NE801448";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000763";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000765";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000767";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000769";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000770";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000771";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000774";"120629000012019NE802479";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000775";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000777";"120629000012019NE802490";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000778";"120629000012019NE802865";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000780";"120629000012019NE800915";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000783";"120629000012019NE801956";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000784";"120629000012019NE801016";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000785";"120629000012019NE801439";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000786";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS000787";"120629000012019NE800926";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001468";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001470";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001474";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001475";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001477";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001478";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001479";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001480";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001481";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001482";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001483";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001484";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001485";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001487";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001488";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001489";"120629000012019NE801963";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001489";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001490";"120629000012019NE802224";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001571";"120629000012019NE800504";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001572";"120629000012019NE800504";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001597";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120629000012020NS001598";"120629000012019NE801833";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"135082132032020NS000058";"135082132032015NE800360";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"15,60";"0,00"
"135082132032020NS000060";"135082132032015NE800042";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"0,00";"0,00";"9,02";"0,00"
"135082132032020NS000061";"135082132032015NE000412";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"0,00";"0,00";"30,34";"0,00"
"135082132032020NS000062";"135082132032015NE000412";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"0,00";"0,00";"24,60";"0,00"
"135082132032020NS000063";"135082132032015NE000412";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"0,00";"0,00";"8,20";"0,00"
"135082132032020NS000065";"135082132032015NE000412";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"0,00";"0,00";"20,50";"0,00"
"135082132032020NS000067";"135082132032015NE800003";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"15,60";"0,00"
"135082132032020NS000068";"135082132032015NE800003";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"63,96";"0,00"
"135082132032020NS000069";"135082132032015NE800360";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"64,74";"0,00"
"135082132032020NS000070";"135082132032015NE800360";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"54,60";"0,00"
"135082132032020NS000071";"135082132032015NE800183";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"654,92";"0,00"
